Column 1,OSMrel,Kommun,Naturreservat,alltrails,coord,www,length,OSMrelation,Naturkartan
"Sörmlandsleden, etapp 1 ",660162,Nacka kommun,"Nackareservatet,Strålsjön-Erstaviks naturreservat",explore/trail/sweden/stockholm/sormlandsleden-etapp-1-bjorkhagen-skogshyddan,59.291883 18.116867,https://www.sormlandsleden.se/vandring/etapp/etapp-1,8.5,https://www.openstreetmap.org/relation/660162,stockholms-lan/sormlandsleden-etapp-1
"Sörmlandsleden, etapp 2 ",2344249,"Nacka kommun,Tyresö kommun",Alby naturreservat,explore/trail/sweden/stockholm/sormlandsleden-etapp-2-skogshyddan-alby-friluftsgard,59.264283 18.211217,https://www.sormlandsleden.se/vandring/etapp/etapp-2,6.5,https://www.openstreetmap.org/relation/2344249,stockholms-lan/sormlandsleden-etapp-2
"Sörmlandsleden, etapp 3 ",2344250,"Haninge Kommun, Stockholms kommun, Tyresö kommun","Alby naturreservat, Tyresta nationalpark",explore/trail/sweden/stockholm/sormlandsleden-etapp3-alby-friluftsgard-tyresta,59.230717 18.269683,https://www.sormlandsleden.se/vandring/etapp/etapp-3,13,https://www.openstreetmap.org/relation/2344250,stockholms-lan/sormlandsleden-etapp-3
"Sörmlandsleden, etapp 4 ",2344213,"Stockholms kommun, Haninge kommun",Tyresta nationalpark,,59.167983 18.237600,https://www.sormlandsleden.se/vandring/etapp/etapp-4,10,https://www.openstreetmap.org/relation/2344213,stockholms-lan/sormlandsleden-genom-hogstaskogen
"Sörmlandsleden, etapp 5 ",2344214,"Haninge Kommun, Huddinge kommun, Stockholms kommun","Rudans naturreservat, Paradisets naturreservat",trail/sweden/stockholm/sormlandsleden-etapp-5-handen-rudans-gard-paradiset,59.164267 18.132167,https://www.sormlandsleden.se/vandring/etapp/etapp-5,11.5,https://www.openstreetmap.org/relation/2344214,stockholms-lan/handen-rudans-gard-paradiset-sormlandsleden-etapp-5
"Sörmlandsleden, etapp 5:1 ",2344203,Nynäshamns kommun,,,58.923317 17.921650,https://www.sormlandsleden.se/vandring/etapp/etapp-51,9.5,https://www.openstreetmap.org/relation/2344203,
"Sörmlandsleden, etapp 5:2 ",562617,"Nynäshamns kommun, Haninge kommun",Slätmossen-Borgbergets naturreservat,explore/trail/sweden/stockholm/sormlandsleden-etapp-5-2-osmo-hemfosa,58.808317 17.367767,https://www.sormlandsleden.se/vandring/etapp/etapp-52,7.5,https://www.openstreetmap.org/relation/562617,
"Sörmlandsleden, etapp 5:3 ",2343975,"Haninge Kommun, Huddinge kommun, Nynäshamns Kommun, Stockholms kommun","Österby naturreservat,Tornbergets naturreservat ,Tornbergets naturreservat",explore/trail/sweden/stockholm/sormlandsleden-etapp-5-3-hemforsa-paradiset,59.068733 17.956750,https://www.sormlandsleden.se/vandring/etapp/etapp-53,15,https://www.openstreetmap.org/relation/2343975,stockholms-lan/sormlandsleden-genom-hemfosa-2
"Sörmlandsleden, etapp 6 ",2343842,"Botkyrka kommun, Haninge Kommun, Huddinge kommun, Stockholms kommun","Paradisets naturreservat, Lida naturreservat    ",led/sweden/stockholm/sormlandsleden-etapp-6-paradiset-lida-friluftsgard,59.154167 18.022900,https://www.sormlandsleden.se/vandring/etapp/etapp-6,12,https://www.openstreetmap.org/relation/2343842,stockholms-lan/paradiset-lida-friluftsgard-sormlandsleden-etapp-6
"Sörmlandsleden, etapp 6:1 ",2343843,"Botkyrka kommun, Huddinge kommun, Stockholms kommun",Gladö Kvarnsjöns naturreservat,,59.126400 17.766750,https://www.sormlandsleden.se/vandring/etapp/etapp-61,5.5,https://www.openstreetmap.org/relation/2343843,
"Sörmlandsleden, etapp 7 ",2917654,"Botkyrka kommun, Stockholms kommun",Lida naturreservat,sv-se/led/sweden/stockholm/sormlandsleden-etapp-7-lida-friluftsgard-brotorp,59.163567 17.881333,https://www.sormlandsleden.se/vandring/etapp/etapp-7,6.5,https://www.openstreetmap.org/relation/2917654,
"Sörmlandsleden, etapp 8 ",2917655,,,sv-se/led/sweden/stockholm/sormlandsleden-etapp-8-brotorp-ostertalje,59.172350 17.798883,https://www.sormlandsleden.se/vandring/etapp/etapp-8,13,https://www.openstreetmap.org/relation/2917655,
"Sörmlandsleden, etapp 9 ",3967743,,,led/sweden/stockholm/sormlandsleden-etapp-9-ostertalje-tvetaberg,59.179350 17.666833,https://www.sormlandsleden.se/vandring/etapp/etapp-9,9,https://www.openstreetmap.org/relation/3967743,
"Sörmlandsleden, etapp 10 ",2345408,,,sv-se/led/sweden/stockholm/sormlandsleden-etapp-10-tvetaberg-jarna,59.157150 17.599050,https://www.sormlandsleden.se/vandring/etapp/etapp-10,12,https://www.openstreetmap.org/relation/2345408,
"Sörmlandsleden, etapp 11 ",2441745,,,sv-se/led/sweden/stockholm/sormlandsleden-etapp-11-jarna-vattgruvan,59.096800 17.562683,https://www.sormlandsleden.se/vandring/etapp/etapp-11,9,https://www.openstreetmap.org/relation/2441745,
"Sörmlandsleden, etapp 12 ",2390742,,,sv-se/led/sweden/stockholm/sormlandsleden-etapp-12-vattgruvan-yngsviken,59.082017 17.449867,https://www.sormlandsleden.se/vandring/etapp/etapp-12,8.5,https://www.openstreetmap.org/relation/2390742,
"Sörmlandsleden, etapp 12:1 ",2390743,,,sv-se/led/sweden/stockholm/sormlandsleden-12-1-molnbo-etapp-12,59.054867 17.427217,https://www.sormlandsleden.se/vandring/etapp/etapp-12-1,4,https://www.openstreetmap.org/relation/2390743,
"Sörmlandsleden, etapp 13 ",2390726,,,sv-se/led/sweden/sodermanland/sormlandsleden-etapp-13-yngsviken-djupviksangen,59.108233 17.379183,https://www.sormlandsleden.se/vandring/etapp/etapp-13,15,https://www.openstreetmap.org/relation/2390726,sodermanlands-lan/sormlandsleden-etapp-13
"Sörmlandsleden, etapp 13:1 ",6620044,,,,59.048333 17.312467,https://www.sormlandsleden.se/vandring/etapp/etapp-131,13,https://www.openstreetmap.org/relation/6620044,
"Sörmlandsleden, etapp 14 ",3808981,,,sv-se/led/sweden/sodermanland/sormlandsleden-etapp-14-djupviksangen-fredriksberg,59.156000 17.228850,https://www.sormlandsleden.se/vandring/etapp/etapp-14,6.5,https://www.openstreetmap.org/relation/3808981,
"Sörmlandsleden, etapp 15 ",3806515,,,sv-se/led/sweden/sodermanland/sormlandsleden-etapp-15-mellan-marviken-skottvangs-gruva,59.193617 17.184567,https://www.sormlandsleden.se/vandring/etapp/etapp-15,10.5,https://www.openstreetmap.org/relation/3806515,
"Sörmlandsleden, etapp 15:1 ",3806868,,,,59.247983 17.165650,https://www.sormlandsleden.se/vandring/etapp/etapp-15-1,6,https://www.openstreetmap.org/relation/3806868,
"Sörmlandsleden, etapp 15:2 ",3806869,,,,59.207500 17.149350,https://www.sormlandsleden.se/vandring/etapp/etapp-152,4,https://www.openstreetmap.org/relation/3806869,
Fornborgsrundan ,3808507,,,sv-se/led/sweden/sodermanland/fornborgsrundan--2,59.182267 17.135200,https://www.sormlandsleden.se/vandring/rundslinga/rundslinga-fornborgsrundan/,4.5,https://www.openstreetmap.org/relation/3808507,
"Sörmlandsleden, etapp 16 ",3806516,,,sv-se/led/sweden/sodermanland/sormlandsleden-etapp-16-skottvangs-gruva-harsjohult,59.182267 17.135200,https://www.sormlandsleden.se/vandring/etapp/etapp-16,10,https://www.openstreetmap.org/relation/3806516,
"Sörmlandsleden, etapp 17 ",3870287,,,sv-se/led/sweden/sodermanland/sormlandsleden-etapp-17-harsjohult-finnsjon,59.203067 17.034950,https://www.sormlandsleden.se/vandring/etapp/etapp-17,6,https://www.openstreetmap.org/relation/3870287,
"Sörmlandsleden, etapp 18 ",1738986,,,sv-se/led/sweden/sodermanland/sormlandsleden-etapp-18-finnsjon-anhammar,59.206967 16.961083,https://www.sormlandsleden.se/vandring/etapp/etapp-18,11,https://www.openstreetmap.org/relation/1738986,
"Sörmlandsleden, etapp 19 ",1734723,,,sv-se/led/sweden/sodermanland/sormlandsleden-etapp-19-anhammar-henaredalen,59.145933 16.910817,https://www.sormlandsleden.se/vandring/etapp/etapp-19,12,https://www.openstreetmap.org/relation/1734723,
"Sörmlandsleden, etapp 20 ",5447840,,,sv-se/led/sweden/sodermanland/sormlandsleden-etapp-20-henaredalen-malmkoping,59.120833 16.799917,https://www.sormlandsleden.se/vandring/etapp/etapp-20,6,https://www.openstreetmap.org/relation/5447840,
"Sörmlandsleden, etapp 21 ",3854541,,,,59.139667 16.732133,https://www.sormlandsleden.se/vandring/etapp/etapp-21,10.5,https://www.openstreetmap.org/relation/3854541,
"Sörmlandsleden, etapp 22 ",3854542,,,,59.197067 16.616983,https://www.sormlandsleden.se/vandring/etapp/etapp-22,16.5,https://www.openstreetmap.org/relation/3854542,
"Sörmlandsleden, etapp 22:1 ",9636667,,,,59.161433 16.503583,https://www.sormlandsleden.se/vandring/etapp/etapp-22-1,1.5,https://www.openstreetmap.org/relation/9636667,
"Sörmlandsleden, etapp 22:2 ",9637581,,,,,,,https://www.openstreetmap.org/relation/9637581,
Bruksslingan ,9636666,,,,59.151583 16.489883,https://www.sormlandsleden.se/vandring/rundslinga/rundslinga-bruksslingan/,4,https://www.openstreetmap.org/relation/9636666,
"Sörmlandsleden, etapp 23 ",3925449,,,sv-se/led/sweden/sodermanland/sormlandsleden-etapp-23-halleforsnas-svalboviken,59.158050 16.468633,https://www.sormlandsleden.se/vandring/etapp/etapp-23,12,https://www.openstreetmap.org/relation/3925449,
"Sörmlandsleden, etapp 23:1 ",9637570,,,sv-se/led/sweden/sodermanland/sormlandsleden-etapp-23-1-flen-hammarvallen-harpsundsvagen,59.056550 16.567883,https://www.sormlandsleden.se/vandring/etapp/etapp-231,10,https://www.openstreetmap.org/relation/9637570,
"Sörmlandsleden, etapp 23:2 ",9636668,,,sv-se/led/sweden/sodermanland/sormlandsleden-etapp-23-2-bruksslingan,59.101833 16.526200,https://www.sormlandsleden.se/vandring/etapp/etapp-23-2,10,https://www.openstreetmap.org/relation/9636668,
"Sörmlandsleden, etapp 24 ",3925407,,,sv-se/led/sweden/sodermanland/sormlandsleden-etapp-24-1-vilsta-eskilstuna-hallsta,59.171883 16.329167,https://www.sormlandsleden.se/vandring/etapp/etapp-24,16.5,https://www.openstreetmap.org/relation/3925407,
